Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
28,Exit Long,SQ-Exit-Sell 19700PE,2023-09-22 09:30,19754.55,1,-67.35,-0.34,359.50,-0.01,5.05,0.03,111.95,0.56
28,Entry Long,Sell 19700 PE,2023-09-21 09:20,19821.90,1,-67.35,-0.34,359.50,-0.01,5.05,0.03,111.95,0.56
29,Exit Long,SQ-Exit-Sell 19650PE,2023-09-29 14:10,19709.70,1,-41.15,-0.21,318.35,0,3.95,0.02,258.75,1.31
29,Entry Long,Sell 19650 PE,2023-09-28 09:20,19750.85,1,-41.15,-0.21,318.35,0,3.95,0.02,258.75,1.31
30,Exit Long,SQ-Exit-Sell 19450PE,2023-10-06 09:20,19604.10,1,67.15,0.34,385.50,0.01,87.05,0.45,49.65,0.25
30,Entry Long,Sell 19450 PE,2023-10-05 09:20,19536.95,1,67.15,0.34,385.50,0.01,87.05,0.45,49.65,0.25
31,Exit Long,SQ-Exit-Sell 19750PE,2023-10-13 14:40,19787.55,1,-38.60,-0.19,346.90,0,7.20,0.04,190.85,0.96
31,Entry Long,Sell 19750 PE,2023-10-12 09:20,19826.15,1,-38.60,-0.19,346.90,0,7.20,0.04,190.85,0.96
32,Exit Long,SQ-Exit-Sell 19450PE,2023-10-20 09:25,19582.40,1,43.40,0.22,390.30,0,142.80,0.73,26.65,0.14
32,Entry Long,Sell 19450 PE,2023-10-19 09:20,19539.00,1,43.40,0.22,390.30,0,142.80,0.73,26.65,0.14
33,Exit Long,SQ-Exit-Sell 18900PE,2023-10-27 09:30,18967.25,1,-40.75,-0.21,349.55,0,1.50,0.01,170.15,0.9
33,Entry Long,Sell 18900 PE,2023-10-26 09:20,19008.00,1,-40.75,-0.21,349.55,0,1.50,0.01,170.15,0.9
34,Exit Long,SQ-Exit-Sell 19050PE,2023-11-03 09:20,19248.35,1,105.50,0.55,455.05,0.01,115.90,0.61,78.70,0.41
34,Entry Long,Sell 19050 PE,2023-11-02 09:20,19142.85,1,105.50,0.55,455.05,0.01,115.90,0.61,78.70,0.41
35,Exit Long,SQ-Exit-Sell 19300PE,2023-11-10 09:20,19353.85,1,-59.25,-0.31,395.80,-0.01,46.65,0.24,83.65,0.43
35,Entry Long,Sell 19300 PE,2023-11-09 09:20,19413.10,1,-59.25,-0.31,395.80,-0.01,46.65,0.24,83.65,0.43
36,Exit Long,X-Exit-Sell 19550PE,2023-11-21 15:25,19784.80,1,148.20,0.75,544.00,0.01,238.65,1.22,9.60,0.05
36,Entry Long,Sell 19550 PE,2023-11-16 09:20,19636.60,1,148.20,0.75,544.00,0.01,238.65,1.22,9.60,0.05
37,Exit Long,SQ-Exit-Sell 19750PE,2023-11-24 09:55,19800.15,1,-40.20,-0.2,503.80,0,34.80,0.18,53.60,0.27
37,Entry Long,Sell 19750 PE,2023-11-23 09:20,19840.35,1,-40.20,-0.2,503.80,0,34.80,0.18,53.60,0.27
38,Exit Long,SQ-Exit-Sell 20000PE,2023-12-01 09:20,20219.85,1,106.85,0.53,610.65,0.01,113.80,0.57,97.15,0.48
38,Entry Long,Sell 20000 PE,2023-11-30 09:20,20113.00,1,106.85,0.53,610.65,0.01,113.80,0.57,97.15,0.48
39,Exit Long,SQ-Exit-Sell 20750PE,2023-12-08 13:10,20907.20,1,41.05,0.2,651.70,0,139.95,0.67,15.35,0.07
