Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
96,Entry Long,Sell 21450 PE,12/20/2023 10:20,21564.95,1,-57.95,-0.27,2791.9,-0.01,15.85,0.07,57.95,0.27
97,Exit Long,TG-Exit-Sell 21050PE,12/22/2023 9:15,21304.75,1,134.6,0.64,2926.5,0.01,134.6,0.64,51.75,0.24
97,Entry Long,Sell 21050 PE,12/21/2023 11:05,21170.15,1,134.6,0.64,2926.5,0.01,134.6,0.64,51.75,0.24
98,Exit Long,TSL-Exit-Sell 21250PE,12/22/2023 12:35,21304.3,1,-27.75,-0.13,2898.75,0,58.45,0.27,29.15,0.14
98,Entry Long,Sell 21250 PE,12/22/2023 9:50,21332.05,1,-27.75,-0.13,2898.75,0,58.45,0.27,29.15,0.14
99,Exit Long,TG-Exit-Sell 21250PE,12/27/2023 9:15,21514.2,1,149.7,0.7,3048.45,0.01,149.7,0.7,38.15,0.18
99,Entry Long,Sell 21250 PE,12/22/2023 14:45,21364.5,1,149.7,0.7,3048.45,0.01,149.7,0.7,38.15,0.18
100,Exit Long,SL-Exit-Sell 21500PE,12/27/2023 13:35,21510.5,1,-69.4,-0.32,2979.05,-0.01,23.5,0.11,69.4,0.32
100,Entry Long,Sell 21500 PE,12/27/2023 10:50,21579.9,1,-69.4,-0.32,2979.05,-0.01,23.5,0.11,69.4,0.32
101,Exit Long,TG-Exit-Sell 21500PE,12/28/2023 9:15,21725.4,1,129.05,0.6,3108.1,0.01,129.05,0.6,19.35,0.09
101,Entry Long,Sell 21500 PE,12/27/2023 14:50,21596.35,1,129.05,0.6,3108.1,0.01,129.05,0.6,19.35,0.09
102,Exit Long,TSL-Exit-Sell 21650PE,12/29/2023 9:25,21712.55,1,-21,-0.1,3087.1,0,67.9,0.31,29.65,0.14
102,Entry Long,Sell 21650 PE,12/28/2023 11:10,21733.55,1,-21,-0.1,3087.1,0,67.9,0.31,29.65,0.14
103,Exit Long,TG-Exit-Sell 21500PE,1/5/2024 9:15,21748.45,1,129.1,0.6,3216.2,0.01,129.1,0.6,6.7,0.03
103,Entry Long,Sell 21500 PE,1/4/2024 10:05,21619.35,1,129.1,0.6,3216.2,0.01,129.1,0.6,6.7,0.03
104,Exit Long,X-Exit-Sell 21600PE,1/8/2024 9:20,21738.85,1,36.15,0.17,3252.35,0,51.5,0.24,21,0.1
104,Entry Long,Sell 21600 PE,1/5/2024 14:55,21702.7,1,36.15,0.17,3252.35,0,51.5,0.24,21,0.1
105,Exit Long,TG-Exit-Sell 21450PE,1/11/2024 9:15,21694.75,1,146.85,0.68,3399.2,0.01,146.85,0.68,38.05,0.18
105,Entry Long,Sell 21450 PE,1/10/2024 14:20,21547.9,1,146.85,0.68,3399.2,0.01,146.85,0.68,38.05,0.18
106,Exit Long,TG-Exit-Sell 21750PE,1/15/2024 9:15,22036.95,1,204.65,0.94,3603.85,0.02,204.65,0.94,21.65,0.1
106,Entry Long,Sell 21750 PE,1/12/2024 11:20,21832.3,1,204.65,0.94,3603.85,0.02,204.65,0.94,21.65,0.1
107,Exit Long,TG-Exit-Sell 21400PE,1/19/2024 9:15,21639.3,1,152,0.71,3755.85,0.02,152,0.71,69.3,0.32
107,Entry Long,Sell 21400 PE,1/18/2024 11:10,21487.3,1,152,0.71,3755.85,0.02,152,0.71,69.3,0.32
108,Exit Long,TSL-Exit-Sell 21200PE,1/24/2024 11:35,21263.3,1,-43.85,-0.21,3712,0,101.45,0.48,73.95,0.35
108,Entry Long,Sell 21200 PE,1/24/2024 9:50,21307.15,1,-43.85,-0.21,3712,0,101.45,0.48,73.95,0.35
