Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
21,Exit Long,X-Exit-Sell Sell 41300 PE,2023-04-12 14:45,41518.85,30,-279.00,-0.02,5335.50,-0.03,1449.00,0.12,1770.00,0.14
21,Entry Long,Sell 41300 PE,2023-04-12 13:35,41528.15,30,-279.00,-0.02,5335.50,-0.03,1449.00,0.12,1770.00,0.14
22,Exit Short,X-Exit-Sell Sell 41900 CE,2023-04-13 14:45,41938.15,30,-8184.00,-0.65,-2848.50,-0.81,3037.50,0.24,9289.50,0.74
22,Entry Short,Sell 41900 CE,2023-04-13 10:50,41665.35,30,-8184.00,-0.65,-2848.50,-0.81,3037.50,0.24,9289.50,0.74
23,Exit Short,X-Exit-Sell Sell 42500 CE,2023-04-18 14:45,42257.00,30,805.50,0.06,-2043.00,0.08,5085.00,0.4,198.00,0.02
23,Entry Short,Sell 42500 CE,2023-04-18 13:40,42283.85,30,805.50,0.06,-2043.00,0.08,5085.00,0.4,198.00,0.02
24,Exit Short,X-Exit-Sell Sell 42400 CE,2023-04-19 14:45,42110.55,30,2932.50,0.23,889.50,0.29,5584.50,0.44,1141.50,0.09
24,Entry Short,Sell 42400 CE,2023-04-19 10:00,42208.30,30,2932.50,0.23,889.50,0.29,5584.50,0.44,1141.50,0.09
25,Exit Short,X-Exit-Sell Sell 42400 CE,2023-04-20 14:45,42221.95,30,-1692.00,-0.13,-802.50,-0.17,1701.00,0.13,2370.00,0.19
25,Entry Short,Sell 42400 CE,2023-04-20 13:10,42165.55,30,-1692.00,-0.13,-802.50,-0.17,1701.00,0.13,2370.00,0.19
26,Exit Short,X-Exit-Sell Sell 42400 CE,2023-04-21 14:45,42133.85,30,1491.00,0.12,688.50,0.15,6636.00,0.52,784.50,0.06
26,Entry Short,Sell 42400 CE,2023-04-21 11:35,42183.55,30,1491.00,0.12,688.50,0.15,6636.00,0.52,784.50,0.06
27,Exit Long,TG-Exit-Sell 42300PE,2023-04-24 14:05,42687.45,30,6873.00,0.54,7561.50,0.69,6873.00,0.54,1395.00,0.11
27,Entry Long,Sell 42300 PE,2023-04-24 12:35,42458.35,30,6873.00,0.54,7561.50,0.69,6873.00,0.54,1395.00,0.11
28,Exit Long,X-Exit-Sell Sell 42400 PE,2023-04-26 14:45,42744.80,30,2875.50,0.22,10437.00,0.29,5070.00,0.4,648.00,0.05
28,Entry Long,Sell 42400 PE,2023-04-26 11:20,42648.95,30,2875.50,0.22,10437.00,0.29,5070.00,0.4,648.00,0.05
29,Exit Long,X-Exit-Sell Sell 42700 PE,2023-04-27 14:45,42927.40,30,-775.50,-0.06,9661.50,-0.08,1179.00,0.09,4636.50,0.36
29,Entry Long,Sell 42700 PE,2023-04-27 13:25,42953.25,30,-775.50,-0.06,9661.50,-0.08,1179.00,0.09,4636.50,0.36
30,Exit Short,X-Exit-Sell Sell 43000 CE,2023-04-28 14:45,43066.65,30,-7098.00,-0.55,2563.50,-0.7,244.50,0.02,7153.50,0.56
30,Entry Short,Sell 43000 CE,2023-04-28 10:15,42830.05,30,-7098.00,-0.55,2563.50,-0.7,244.50,0.02,7153.50,0.56
31,Exit Short,X-Exit-Sell Sell 43300 CE,2023-05-03 14:45,43270.70,30,-3886.50,-0.3,-1323.00,-0.39,1002.00,0.08,6220.50,0.48
31,Entry Short,Sell 43300 CE,2023-05-03 11:45,43141.15,30,-3886.50,-0.3,-1323.00,-0.39,1002.00,0.08,6220.50,0.48
32,Exit Long,X-Exit-Sell Sell 43200 PE,2023-05-04 14:45,43523.25,30,2472.00,0.19,1149.00,0.25,3205.50,0.25,1215.00,0.09
32,Entry Long,Sell 43200 PE,2023-05-04 12:45,43440.85,30,2472.00,0.19,1149.00,0.25,3205.50,0.25,1215.00,0.09
33,Exit Short,X-Exit-Sell Sell 43600 CE,2023-05-05 14:45,42905.05,30,15699.00,1.2,16848.00,1.57,17959.50,1.38,154.50,0.01
33,Entry Short,Sell 43600 CE,2023-05-05 11:05,43428.35,30,15699.00,1.2,16848.00,1.57,17959.50,1.38,154.50,0.01
34,Exit Long,X-Exit-Sell Sell 43200 PE,2023-05-08 14:45,43340.55,30,-1452.00,-0.11,15396.00,-0.14,888.00,0.07,4534.50,0.35
34,Entry Long,Sell 43200 PE,2023-05-08 14:00,43388.95,30,-1452.00,-0.11,15396.00,-0.14,888.00,0.07,4534.50,0.35
35,Exit Long,X-Exit-Sell Sell 43000 PE,2023-05-10 14:45,43249.00,30,925.50,0.07,16321.50,0.09,3490.50,0.27,4231.50,0.33
35,Entry Long,Sell 43000 PE,2023-05-10 11:50,43218.15,30,925.50,0.07,16321.50,0.09,3490.50,0.27,4231.50,0.33
36,Exit Long,X-Exit-Sell Sell 43800 PE,2023-05-15 14:45,44094.45,30,2914.50,0.22,19236.00,0.29,4632.00,0.35,390.00,0.03
36,Entry Long,Sell 43800 PE,2023-05-15 11:05,43997.30,30,2914.50,0.22,19236.00,0.29,4632.00,0.35,390.00,0.03
37,Exit Short,X-Exit-Sell Sell 44000 CE,2023-05-17 14:45,43617.95,30,5703.00,0.43,24939.00,0.56,10849.50,0.83,1543.50,0.12
37,Entry Short,Sell 44000 CE,2023-05-17 10:30,43808.05,30,5703.00,0.43,24939.00,0.56,10849.50,0.83,1543.50,0.12
38,Exit Long,SL-Exit-Sell 43800PE,2023-05-18 12:55,43893.75,30,-4461.00,-0.34,20478.00,-0.44,1102.50,0.08,4461.00,0.34
38,Entry Long,Sell 43800 PE,2023-05-18 11:20,44042.45,30,-4461.00,-0.34,20478.00,-0.44,1102.50,0.08,4461.00,0.34
39,Exit Long,X-Exit-Sell Sell 43500 PE,2023-05-19 14:45,43886.70,30,5241.00,0.4,25719.00,0.51,6087.00,0.46,3820.50,0.29
39,Entry Long,Sell 43500 PE,2023-05-19 11:20,43712.00,30,5241.00,0.4,25719.00,0.51,6087.00,0.46,3820.50,0.29
40,Exit Short,X-Exit-Sell Sell 44000 CE,2023-05-22 14:45,43768.25,30,1569.00,0.12,27288.00,0.15,4069.50,0.31,4575.00,0.35
40,Entry Short,Sell 44000 CE,2023-05-22 10:05,43820.55,30,1569.00,0.12,27288.00,0.15,4069.50,0.31,4575.00,0.35
41,Exit Long,X-Exit-Sell Sell 43900 PE,2023-05-23 14:45,44033.00,30,-1374.00,-0.1,25914.00,-0.13,493.50,0.04,3247.50,0.25
41,Entry Long,Sell 43900 PE,2023-05-23 10:50,44078.80,30,-1374.00,-0.1,25914.00,-0.13,493.50,0.04,3247.50,0.25
42,Exit Short,X-Exit-Sell Sell 44000 CE,2023-05-24 14:45,43743.60,30,2617.50,0.2,28531.50,0.26,3870.00,0.29,1684.50,0.13
42,Entry Short,Sell 44000 CE,2023-05-24 12:40,43830.85,30,2617.50,0.2,28531.50,0.26,3870.00,0.29,1684.50,0.13
43,Exit Short,X-Exit-Sell Sell 43700 CE,2023-05-25 14:45,43582.60,30,-3769.50,-0.29,24762.00,-0.37,1999.50,0.15,3949.50,0.3
43,Entry Short,Sell 43700 CE,2023-05-25 13:05,43456.95,30,-3769.50,-0.29,24762.00,-0.37,1999.50,0.15,3949.50,0.3
44,Exit Long,X-Exit-Sell Sell 43600 PE,2023-05-26 14:45,43984.60,30,6366.00,0.48,31128.00,0.62,8856.00,0.67,36.00,0
44,Entry Long,Sell 43600 PE,2023-05-26 12:05,43772.40,30,6366.00,0.48,31128.00,0.62,8856.00,0.67,36.00,0
45,Exit Long,X-Exit-Sell Sell 44200 PE,2023-05-30 14:45,44434.30,30,2017.50,0.15,33145.50,0.2,2394.00,0.18,2083.50,0.16
45,Entry Long,Sell 44200 PE,2023-05-30 13:40,44367.05,30,2017.50,0.15,33145.50,0.2,2394.00,0.18,2083.50,0.16
46,Exit Short,X-Exit-Sell Sell 44200 CE,2023-05-31 14:45,43953.60,30,1966.50,0.15,35112.00,0.19,5893.50,0.45,237.00,0.02
46,Entry Short,Sell 44200 CE,2023-05-31 11:40,44019.15,30,1966.50,0.15,35112.00,0.19,5893.50,0.45,237.00,0.02
47,Exit Short,X-Exit-Sell Sell 44200 CE,2023-06-01 14:45,43935.20,30,2881.50,0.22,37993.50,0.28,3295.50,0.25,1425.00,0.11
47,Entry Short,Sell 44200 CE,2023-06-01 13:55,44031.25,30,2881.50,0.22,37993.50,0.28,3295.50,0.25,1425.00,0.11
48,Exit Long,X-Exit-Sell Sell 43800 PE,2023-06-02 14:45,43878.60,30,-2929.50,-0.22,35064.00,-0.28,3379.50,0.26,4083.00,0.31
48,Entry Long,Sell 43800 PE,2023-06-02 11:35,43976.25,30,-2929.50,-0.22,35064.00,-0.28,3379.50,0.26,4083.00,0.31
49,Exit Long,X-Exit-Sell Sell 44000 PE,2023-06-05 14:45,44174.50,30,-2214.00,-0.17,32850.00,-0.21,535.50,0.04,2683.50,0.2
49,Entry Long,Sell 44000 PE,2023-06-05 11:10,44248.30,30,-2214.00,-0.17,32850.00,-0.21,535.50,0.04,2683.50,0.2
50,Exit Short,X-Exit-Sell Sell 44300 CE,2023-06-06 14:45,44041.60,30,534.00,0.04,33384.00,0.05,1491.00,0.11,2311.50,0.17
50,Entry Short,Sell 44300 CE,2023-06-06 10:30,44059.40,30,534.00,0.04,33384.00,0.05,1491.00,0.11,2311.50,0.17
51,Exit Short,X-Exit-Sell Sell 44400 CE,2023-06-07 14:45,44234.50,30,-2029.50,-0.15,31354.50,-0.2,700.50,0.05,2181.00,0.16
51,Entry Short,Sell 44400 CE,2023-06-07 11:30,44166.85,30,-2029.50,-0.15,31354.50,-0.2,700.50,0.05,2181.00,0.16
52,Exit Long,SL-Exit-Sell 44200PE,2023-06-08 12:30,44233.90,30,-5652.00,-0.42,25702.50,-0.55,1108.50,0.08,5652.00,0.42
