Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
19,Exit Short,X-Exit-Sell 16350CE,2021-08-06 15:00,16246.55,100,730.00,0.04,67225.00,0.07,1335.00,0.08,3310.00,0.2
19,Entry Short,Sell 16350 CE,2021-08-06 11:00,16253.85,100,730.00,0.04,67225.00,0.07,1335.00,0.08,3310.00,0.2
20,Exit Short,X-Exit-Sell 16350CE,2021-08-09 15:00,16222.40,200,2590.00,0.08,69815.00,0.24,11260.00,0.35,5950.00,0.18
20,Entry Short,Sell 16350 CE,2021-08-09 12:30,16235.35,200,2590.00,0.08,69815.00,0.24,11260.00,0.35,5950.00,0.18
21,Exit Short,X-Exit-Sell 16650CE,2021-08-17 15:00,16563.40,200,-7520.00,-0.23,62295.00,-0.7,6080.00,0.18,12040.00,0.36
21,Entry Short,Sell 16650 CE,2021-08-17 12:15,16525.80,200,-7520.00,-0.23,62295.00,-0.7,6080.00,0.18,12040.00,0.36
22,Exit Short,X-Exit-Sell 16700CE,2021-08-18 15:00,16563.55,100,1825.00,0.11,64120.00,0.17,4595.00,0.28,540.00,0.03
22,Entry Short,Sell 16700 CE,2021-08-18 14:00,16581.80,100,1825.00,0.11,64120.00,0.17,4595.00,0.28,540.00,0.03
23,Exit Short,X-Exit-Sell 16600CE,2021-08-23 15:00,16495.05,100,-1370.00,-0.08,62750.00,-0.13,960.00,0.06,5570.00,0.34
23,Entry Short,Sell 16600 CE,2021-08-23 11:45,16481.35,100,-1370.00,-0.08,62750.00,-0.13,960.00,0.06,5570.00,0.34
24,Exit Short,X-Exit-Sell 16750CE,2021-08-26 15:00,16613.85,200,3280.00,0.1,66030.00,0.31,5370.00,0.16,4560.00,0.14
24,Entry Short,Sell 16750 CE,2021-08-26 12:45,16630.25,200,3280.00,0.1,66030.00,0.31,5370.00,0.16,4560.00,0.14
25,Exit Short,X-Exit-Sell 17400CE,2021-09-13 15:00,17338.80,200,-4540.00,-0.13,61490.00,-0.43,20.00,0,12450.00,0.36
25,Entry Short,Sell 17400 CE,2021-09-13 11:30,17316.10,200,-4540.00,-0.13,61490.00,-0.43,20.00,0,12450.00,0.36
26,Exit Short,X-Exit-Sell 17600CE,2021-09-20 15:00,17434.40,200,11390.00,0.33,72880.00,1.07,13630.00,0.39,2810.00,0.08
26,Entry Short,Sell 17600 CE,2021-09-20 14:00,17491.35,200,11390.00,0.33,72880.00,1.07,13630.00,0.39,2810.00,0.08
27,Exit Short,X-Exit-Sell 17900CE,2021-09-28 15:00,17725.20,100,6830.00,0.38,79710.00,0.64,21740.00,1.22,190.00,0.01
27,Entry Short,Sell 17900 CE,2021-09-28 11:45,17793.50,100,6830.00,0.38,79710.00,0.64,21740.00,1.22,190.00,0.01
28,Exit Short,X-Exit-Sell 17800CE,2021-09-30 15:00,17636.85,100,5360.00,0.3,85070.00,0.5,9950.00,0.56,5170.00,0.29
28,Entry Short,Sell 17800 CE,2021-09-30 11:15,17690.45,100,5360.00,0.3,85070.00,0.5,9950.00,0.56,5170.00,0.29
29,Exit Short,X-Exit-Sell 18200CE,2021-10-22 15:00,18100.90,100,-1080.00,-0.06,83990.00,-0.1,5575.00,0.31,5950.00,0.33
29,Entry Short,Sell 18200 CE,2021-10-22 13:30,18090.10,100,-1080.00,-0.06,83990.00,-0.1,5575.00,0.31,5950.00,0.33
30,Exit Short,X-Exit-Sell 17850CE,2021-10-29 15:00,17740.75,100,185.00,0.01,84175.00,0.02,12730.00,0.72,2260.00,0.13
30,Entry Short,Sell 17850 CE,2021-10-29 13:15,17742.60,100,185.00,0.01,84175.00,0.02,12730.00,0.72,2260.00,0.13
31,Exit Short,X-Exit-Sell 17950CE,2021-11-03 15:00,17797.75,100,6705.00,0.38,90880.00,0.62,10685.00,0.6,4150.00,0.23
31,Entry Short,Sell 17950 CE,2021-11-03 13:00,17864.80,100,6705.00,0.38,90880.00,0.62,10685.00,0.6,4150.00,0.23
32,Exit Short,X-Exit-Sell 17650CE,2021-11-22 15:00,17379.95,100,19195.00,1.09,110075.00,1.76,29145.00,1.66,2445.00,0.14
32,Entry Short,Sell 17650 CE,2021-11-22 11:00,17571.90,100,19195.00,1.09,110075.00,1.76,29145.00,1.66,2445.00,0.14
33,Exit Short,X-Exit-Sell 17200CE,2021-11-26 15:00,17099.40,100,95.00,0.01,110170.00,0.01,3150.00,0.18,10975.00,0.64
33,Entry Short,Sell 17200 CE,2021-11-26 11:00,17100.35,100,95.00,0.01,110170.00,0.01,3150.00,0.18,10975.00,0.64
34,Exit Short,X-Exit-Sell 17500CE,2021-12-13 15:00,17383.00,100,760.00,0.04,110930.00,0.07,3270.00,0.19,5830.00,0.34
34,Entry Short,Sell 17500 CE,2021-12-13 13:00,17390.60,100,760.00,0.04,110930.00,0.07,3270.00,0.19,5830.00,0.34
35,Exit Short,X-Exit-Sell 17350CE,2021-12-16 15:00,17233.25,200,1940.00,0.06,112870.00,0.17,11600.00,0.34,7850.00,0.23
35,Entry Short,Sell 17350 CE,2021-12-16 11:45,17242.95,200,1940.00,0.06,112870.00,0.17,11600.00,0.34,7850.00,0.23
36,Exit Short,X-Exit-Sell 17150CE,2021-12-17 15:00,16988.75,100,4210.00,0.25,117080.00,0.38,5695.00,0.33,7680.00,0.45
36,Entry Short,Sell 17150 CE,2021-12-17 11:45,17030.85,100,4210.00,0.25,117080.00,0.38,5695.00,0.33,7680.00,0.45
37,Exit Short,X-Exit-Sell 17050CE,2021-12-24 15:00,17008.30,400,-23780.00,-0.35,93300.00,-2.13,4040.00,0.06,47720.00,0.7
37,Entry Short,Sell 17050 CE,2021-12-24 11:45,16948.85,400,-23780.00,-0.35,93300.00,-2.13,4040.00,0.06,47720.00,0.7
38,Exit Short,X-Exit-Sell 17800CE,2022-01-06 15:00,17757.55,200,-15590.00,-0.44,77710.00,-1.43,4810.00,0.14,22230.00,0.63
38,Entry Short,Sell 17800 CE,2022-01-06 11:15,17679.60,200,-15590.00,-0.44,77710.00,-1.43,4810.00,0.14,22230.00,0.63
39,Exit Short,X-Exit-Sell 17850CE,2022-01-07 15:00,17767.75,100,-810.00,-0.05,76900.00,-0.08,1955.00,0.11,4030.00,0.23
39,Entry Short,Sell 17850 CE,2022-01-07 13:00,17759.65,100,-810.00,-0.05,76900.00,-0.08,1955.00,0.11,4030.00,0.23
40,Exit Short,X-Exit-Sell 18250CE,2022-01-14 15:00,18257.55,200,-18640.00,-0.51,58260.00,-1.73,4540.00,0.12,19230.00,0.53
40,Entry Short,Sell 18250 CE,2022-01-14 11:30,18164.35,200,-18640.00,-0.51,58260.00,-1.73,4540.00,0.12,19230.00,0.53
41,Exit Short,X-Exit-Sell 17050CE,2022-01-27 15:00,17097.85,100,-15000.00,-0.89,43260.00,-1.42,8110.00,0.48,23465.00,1.38
41,Entry Short,Sell 17050 CE,2022-01-27 11:30,16947.85,100,-15000.00,-0.89,43260.00,-1.42,8110.00,0.48,23465.00,1.38
42,Exit Short,X-Exit-Sell 16700CE,2022-03-02 15:00,16529.35,200,9200.00,0.28,52460.00,0.88,19340.00,0.58,6400.00,0.19
42,Entry Short,Sell 16700 CE,2022-03-02 11:15,16575.35,200,9200.00,0.28,52460.00,0.88,19340.00,0.58,6400.00,0.19
43,Exit Short,X-Exit-Sell 16650CE,2022-03-03 15:00,16500.60,100,7115.00,0.43,59575.00,0.68,9485.00,0.57,1105.00,0.07
43,Entry Short,Sell 16650 CE,2022-03-03 12:30,16571.75,100,7115.00,0.43,59575.00,0.68,9485.00,0.57,1105.00,0.07
44,Exit Short,X-Exit-Sell 17300CE,2022-03-25 15:00,17111.70,200,16010.00,0.47,75585.00,1.51,23040.00,0.67,260.00,0.01
44,Entry Short,Sell 17300 CE,2022-03-25 11:45,17191.75,200,16010.00,0.47,75585.00,1.51,23040.00,0.67,260.00,0.01
45,Exit Short,X-Exit-Sell 17150CE,2022-03-28 15:00,17210.15,100,-15715.00,-0.92,59870.00,-1.46,4675.00,0.27,17310.00,1.02
45,Entry Short,Sell 17150 CE,2022-03-28 11:30,17053.00,100,-15715.00,-0.92,59870.00,-1.46,4675.00,0.27,17310.00,1.02
46,Exit Short,X-Exit-Sell 17800CE,2022-04-11 15:00,17694.30,200,-1740.00,-0.05,58130.00,-0.16,1810.00,0.05,18690.00,0.53
46,Entry Short,Sell 17800 CE,2022-04-11 11:15,17685.60,200,-1740.00,-0.05,58130.00,-0.16,1810.00,0.05,18690.00,0.53
47,Exit Short,X-Exit-Sell 17600CE,2022-04-13 15:00,17498.10,100,-1485.00,-0.08,56645.00,-0.14,2585.00,0.15,4530.00,0.26
