Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
17,Entry Short,Sell 43900 CE|Buy 44900 CE,2023-06-16 10:20,43727.15,1,-38.20,-0.09,1193.55,0,32.75,0.07,92.55,0.21
18,Exit Short,X-Exit- Sell 43900 CE|Buy 44900 CE,2023-06-19 12:30,43694.75,1,21.65,0.05,1215.20,0,121.90,0.28,36.60,0.08
18,Entry Short,Sell 43900 CE|Buy 44900 CE,2023-06-19 10:35,43716.40,1,21.65,0.05,1215.20,0,121.90,0.28,36.60,0.08
19,Exit Short,X-Exit- Sell 43900 CE|Buy 44900 CE,2023-06-23 12:30,43726.20,1,15.55,0.04,1230.75,0,78.10,0.18,52.95,0.12
19,Entry Short,Sell 43900 CE|Buy 44900 CE,2023-06-23 10:20,43741.75,1,15.55,0.04,1230.75,0,78.10,0.18,52.95,0.12
20,Exit Short,X-Exit- Sell 45600 CE|Buy 46600 CE,2023-07-03 12:30,45127.85,1,171.15,0.38,1401.90,0.02,258.00,0.57,3.80,0.01
20,Entry Short,Sell 45600 CE|Buy 46600 CE,2023-07-03 10:20,45299.00,1,171.15,0.38,1401.90,0.02,258.00,0.57,3.80,0.01
21,Exit Short,SL-Exit-Sell Sell 45100 CE|Buy 46100 CE,2023-07-07 11:15,45021.80,1,-87.50,-0.19,1314.40,-0.01,0,0,87.50,0.19
21,Entry Short,Sell 45100 CE|Buy 46100 CE,2023-07-07 10:55,44934.30,1,-87.50,-0.19,1314.40,-0.01,0,0,87.50,0.19
22,Exit Short,X-Exit- Sell 45100 CE|Buy 46100 CE,2023-07-07 12:30,44884.05,1,79.70,0.18,1394.10,0.01,118.05,0.26,2.75,0.01
22,Entry Short,Sell 45100 CE|Buy 46100 CE,2023-07-07 11:25,44963.75,1,79.70,0.18,1394.10,0.01,118.05,0.26,2.75,0.01
23,Exit Short,X-Exit- Sell 45200 CE|Buy 46200 CE,2023-07-11 12:30,45063.65,1,9.50,0.02,1403.60,0,35.80,0.08,66.40,0.15
