Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
83,Exit Short,X-Exit- Sell 46900 CE|Buy 47900 CE,2024-02-28 12:30,46205.25,1,495.05,1.06,3922.35,0.05,660.00,1.41,54.25,0.12
83,Entry Short,Sell 46900 CE|Buy 47900 CE,2024-02-28 10:20,46700.30,1,495.05,1.06,3922.35,0.05,660.00,1.41,54.25,0.12
84,Exit Short,L-Exit- Sell 46800 CE|Buy 47800 CE,2024-03-01 11:30,46862.10,1,-281.55,-0.6,3640.80,-0.03,6.40,0.01,290.40,0.62
84,Entry Short,Sell 46800 CE|Buy 47800 CE,2024-03-01 10:20,46580.55,1,-281.55,-0.6,3640.80,-0.03,6.40,0.01,290.40,0.62
85,Exit Short,X-Exit- Sell 47600 CE|Buy 48600 CE,2024-03-04 12:30,47341.15,1,90.70,0.19,3731.50,0.01,240.20,0.51,89.05,0.19
85,Entry Short,Sell 47600 CE|Buy 48600 CE,2024-03-04 10:20,47431.85,1,90.70,0.19,3731.50,0.01,240.20,0.51,89.05,0.19
86,Exit Short,X-Exit- Sell 48500 CE|Buy 49500 CE,2024-03-06 12:30,48071.50,1,26.80,0.06,3758.30,0,192.45,0.4,6.40,0.01
86,Entry Short,Sell 48500 CE|Buy 49500 CE,2024-03-06 10:20,48098.30,1,26.80,0.06,3758.30,0,192.45,0.4,6.40,0.01
87,Exit Short,X-Exit- Sell 47700 CE|Buy 48700 CE,2024-03-11 12:30,47341.60,1,70.10,0.15,3828.40,0.01,116.95,0.25,41.45,0.09
87,Entry Short,Sell 47700 CE|Buy 48700 CE,2024-03-11 11:55,47411.70,1,70.10,0.15,3828.40,0.01,116.95,0.25,41.45,0.09
88,Exit Short,X-Exit- Sell 48200 CE|Buy 49200 CE,2024-03-12 12:30,47290.00,1,454.50,0.95,4282.90,0.05,860.05,1.8,0,0
88,Entry Short,Sell 48200 CE|Buy 49200 CE,2024-03-12 10:20,47744.50,1,454.50,0.95,4282.90,0.05,860.05,1.8,0,0
89,Exit Short,X-Exit- Sell 47200 CE|Buy 48200 CE,2024-03-21 12:30,46665.00,1,289.60,0.62,4572.50,0.03,384.45,0.82,23.20,0.05
89,Entry Short,Sell 47200 CE|Buy 48200 CE,2024-03-21 10:20,46954.60,1,289.60,0.62,4572.50,0.03,384.45,0.82,23.20,0.05
90,Exit Short,X-Exit- Sell 47100 CE|Buy 48100 CE,2024-03-22 12:30,46856.25,1,19.95,0.04,4592.45,0,72.45,0.15,72.30,0.15
90,Entry Short,Sell 47100 CE|Buy 48100 CE,2024-03-22 10:20,46876.20,1,19.95,0.04,4592.45,0,72.45,0.15,72.30,0.15
91,Exit Short,X-Exit- Sell 47100 CE|Buy 48100 CE,2024-03-27 12:30,46766.25,1,130.20,0.28,4722.65,0.01,152.70,0.33,50.10,0.11
91,Entry Short,Sell 47100 CE|Buy 48100 CE,2024-03-27 10:20,46896.45,1,130.20,0.28,4722.65,0.01,152.70,0.33,50.10,0.11
92,Exit Short,X-Exit- Sell 47400 CE|Buy 48400 CE,2024-03-28 12:30,47215.50,1,-8.50,-0.02,4714.15,0,33.60,0.07,143.20,0.3
92,Entry Short,Sell 47400 CE|Buy 48400 CE,2024-03-28 10:20,47207.00,1,-8.50,-0.02,4714.15,0,33.60,0.07,143.20,0.3
93,Exit Short,X-Exit- Sell 47700 CE|Buy 48700 CE,2024-04-03 12:30,47588.50,1,-92.30,-0.19,4621.85,-0.01,67.35,0.14,152.45,0.32
93,Entry Short,Sell 47700 CE|Buy 48700 CE,2024-04-03 10:20,47496.20,1,-92.30,-0.19,4621.85,-0.01,67.35,0.14,152.45,0.32
94,Exit Short,X-Exit- Sell 49000 CE|Buy 50000 CE,2024-04-09 12:30,48907.60,1,-34.55,-0.07,4587.30,0,56.10,0.11,87.70,0.18
94,Entry Short,Sell 49000 CE|Buy 50000 CE,2024-04-09 10:50,48873.05,1,-34.55,-0.07,4587.30,0,56.10,0.11,87.70,0.18
